,outcome,prediction
880,0,0.07790596
881,0,0.077865183
882,0,0.077810451
883,0,0.077627555
884,0,0.077616617
885,0,0.077444375
886,0,0.077437244
887,0,0.077424176
888,0,0.077276774
889,0,0.077228665
890,0,0.077190123
891,0,0.076815784
892,1,0.076742969
893,0,0.076722622
894,0,0.076703519
895,0,0.076675534
896,0,0.076611824
897,0,0.076553635
898,0,0.076547086
899,0,0.076407477
900,0,0.076334797
901,0,0.076101981
902,0,0.075932592
903,0,0.075897239
904,0,0.075755432
905,0,0.075722933
906,0,0.075695045
907,0,0.07560233
908,0,0.075599581
909,0,0.075386092
910,0,0.07446374
911,0,0.074324302
912,0,0.074296571
913,0,0.074199766
914,0,0.074152313
915,0,0.074100204
916,0,0.073958978
917,0,0.073892437
918,0,0.073823206
919,0,0.073712252
920,0,0.073539168
921,0,0.073393911
922,0,0.073234357
923,0,0.07292477
924,0,0.072703704
925,0,0.072660737
926,0,0.072646312
927,0,0.072427623
928,0,0.072380356
929,0,0.07235875
930,0,0.072294123
931,0,0.072234392
932,0,0.07221514
933,0,0.072198138
934,0,0.072153859
935,1,0.07197959
936,0,0.071796544
937,0,0.071734682
938,0,0.071617037
939,0,0.071544275
940,0,0.071510077
941,0,0.071493112
942,0,0.071428366
943,0,0.071311958
944,0,0.071260892
945,0,0.071213178
946,0,0.071155511
947,0,0.070952766
948,0,0.070845172
949,0,0.070772693
950,1,0.070764244
951,0,0.070693426
952,0,0.070627332
953,0,0.07058163
954,0,0.070104115
955,0,0.070060268
956,0,0.069938928
957,0,0.069925092
958,0,0.069869444
959,0,0.069729529
960,0,0.069392636
961,0,0.069308497
962,0,0.069279373
963,0,0.068945952
964,0,0.068892434
965,0,0.068844169
966,0,0.068835899
967,0,0.068823062
968,0,0.068798847
969,1,0.068707936
970,0,0.068647712
971,0,0.068501823
972,0,0.068416804
973,0,0.068164036
974,0,0.068145998
975,0,0.068099618
976,0,0.067979701
977,0,0.067942277
978,0,0.06791085
979,0,0.067855425
980,0,0.067521155
981,0,0.067502886
982,0,0.067501836
983,0,0.067447677
984,0,0.067319036
985,0,0.067176707
986,0,0.067063652
987,0,0.067032456
988,0,0.067007147
989,0,0.066933982
990,0,0.066760242
991,0,0.06672129
992,0,0.066666216
993,0,0.066604428
994,0,0.066579826
995,0,0.066500552
996,0,0.066479176
997,1,0.066426575
998,0,0.066390954
999,1,0.066165633
1000,0,0.065911107
1001,0,0.065864004
1002,0,0.065859191
1003,0,0.065750383
1004,0,0.065684959
1005,0,0.065657645
1006,0,0.065602846
1007,0,0.065560333
1008,0,0.065476179
1009,0,0.065430202
1010,0,0.065398164
1011,0,0.065366544
1012,0,0.06527371
1013,0,0.065228097
1014,0,0.065192841
1015,0,0.065131374
1016,0,0.065131061
1017,0,0.065103456
1018,0,0.064967759
1019,0,0.064934753
1020,0,0.064741604
1021,0,0.064638495
1022,0,0.064541541
1023,0,0.064362235
1024,0,0.064085267
1025,0,0.06401927
1026,0,0.063939832
1027,0,0.063879095
1028,1,0.063849576
1029,0,0.063781857
1030,0,0.063763365
1031,0,0.063702568
1032,0,0.063693576
1033,0,0.063679263
1034,0,0.063617691
1035,0,0.063555203
1036,0,0.063541442
